"lowtag","year_cap","cwdstatus1","cwdstatus2","cwdstatus3","cwdstatus4","postcwd","ante_cap","needsRTQ"
7270,2018,"","Negative","","","0","Negative","No"
6171,2018,"","","","Negative","Negative","","No"
6127,2018,"","","Negative","","0","","No"
5959,2018,"","","Negative","","0","","No"
6338,2018,"","","","Positive","Positive","","No"
6444,2018,"","","Positive","Positive","Not tested","","No"
5957,2018,"","","Positive","","Positive","","No"
6758,2019,"","","Negative","","0","Negative","No"
6770,2019,"","","Negative","","Not tested","Negative","No"
7860,2019,"","","Negative","","Positive","Negative","No"
6792,2019,"","","Negative","","0","Negative","No"
7175,2019,"","","Negative","","Positive","Negative","No"
7852,2019,"","","Negative","","Negative","Negative","No"
7193,2019,"","","Negative","","0","Negative","No"
6582,2019,"","","Negative","","Positive","Negative","No"
6764,2019,"","","Negative","Negative","0","Negative","No"
6790,2019,"","","Negative","","Negative","Negative","No"
5037,2019,"","","Negative","","Negative","Negative","No"
6550,2019,"","","Negative","","Negative","Negative","No"
5579,2019,"","","Negative","","Positive","Negative","No"
6756,2019,"","","Positive","","Positive","Positive","No"
5651,2019,"","","Negative","","Negative","Negative","No"
6023,2019,"","","Negative","","0","Negative","No"
6061,2019,"","","ISF","","Positive","ISF","No"
6526,2019,"","","Negative","","Negative","Negative","No"
6552,2019,"","","Negative","","Positive","Negative","No"
6554,2019,"","","Negative","","0","Negative","No"
6574,2019,"","","Negative","","0","Negative","No"
6598,2019,"","","Negative","","Positive","Negative","No"
6752,2019,"","","Negative","","Negative","Negative","No"
6784,2019,"","","Negative","","Negative","Negative","No"
7850,2019,"","","Negative","","Negative","Negative","No"
5985,2019,"","","Negative","","Negative","Negative","No"
6546,2019,"","","Negative","","0","Negative","No"
7233,2019,"","","Negative","","Negative","Negative","No"
6536,2019,"","","Negative","","Positive","Negative","No"
6774,2019,"","","Negative","","0","Negative","No"
6542,2019,"","","Negative","","0","Negative","No"
6748,2019,"","","Negative","","0","Negative","No"
5531,2019,"","","Negative","","Negative","Negative","No"
6744,2019,"","","Negative","","Negative","Negative","No"
6746,2019,"","","Negative","","Negative","Negative","No"
7247,2019,"","","ISF","","Negative","ISF","No"
7830,2019,"","","Negative","","0","Negative","No"
6025,2019,"","","Negative","","Negative","Negative","No"
6578,2019,"","","Negative","","Negative","Negative","No"
6796,2019,"","","Negative","","0","Negative","No"
7197,2019,"","","Negative","","Negative","Negative","No"
7243,2019,"","","Negative","","Negative","Negative","No"
6508,2019,"","","Negative","","Negative","Negative","No"
6562,2019,"","","Negative","","Negative","Negative","No"
6576,2019,"","","Negative","","Negative","Negative","No"
6766,2019,"","","Negative","","Negative","Negative","No"
7854,2019,"","","Negative","","Not tested","Negative","No"
6512,2019,"","","Positive","","Positive","Positive","No"
6520,2019,"","","Negative","","Negative","Negative","No"
6788,2019,"","","Negative","","0","Negative","No"
7179,2019,"","","Negative","","Positive","Negative","No"
5657,2019,"","","Negative","","Negative","Negative","No"
5827,2019,"","","Negative","","Negative","Negative","No"
6518,2019,"","","Negative","","0","Negative","No"
6524,2019,"","","ISF","","Negative","ISF","No"
6532,2019,"","","Negative","","Negative","Negative","No"
7183,2019,"","","Negative","","Pending","Negative","No"
7185,2019,"","","Negative","","0","Negative","No"
6544,2019,"","","Negative","","Not tested","Negative","No"
6500,2019,"","","Negative","","Negative","Negative","No"
6506,2019,"","","Negative","","Not tested","Negative","No"
6534,2019,"","","Negative","","Positive","Negative","No"
6586,2019,"","","Negative","","Negative","Negative","No"
6780,2019,"","","Negative","","0","Negative","No"
6786,2019,"","","Negative","","Not tested","Negative","No"
7256,2019,"","","Negative","","Negative","Negative","No"
5625,2019,"","","Negative","","Inconclusive","Negative","No"
5631,2019,"","","Negative","","Negative","Negative","No"
6588,2019,"","","Negative","","Not tested","Negative","No"
7828,2019,"","","Negative","","Negative","Negative","No"
6528,2019,"","","Negative","","0","Negative","No"
6564,2019,"","","Negative","","Negative","Negative","No"
6584,2019,"","","Positive","","Positive","Positive","No"
6740,2019,"","","Negative","","Positive","Negative","No"
7834,2019,"","","Negative","","0","Negative","No"
6558,2019,"","","Negative","","Positive","Negative","No"
6590,2019,"","","Negative","","Positive","Negative","No"
6592,2019,"","","Negative","Positive","Positive","Negative","No"
6768,2019,"","","Negative","","0","Negative","No"
6540,2019,"","","Negative","","Not tested","Negative","No"
6760,2019,"","","Negative","","0","Negative","No"
6782,2019,"","","Negative","","0","Negative","No"
7189,2019,"","","Negative","","Negative","Negative","No"
7195,2019,"","","Negative","","Negative","Negative","No"
7258,2019,"","","Negative","","0","Negative","No"
7824,2019,"","","Negative","","Not tested","Negative","No"
6772,2019,"","","Positive","","Positive","Positive","No"
6957,2019,"","","Negative","","Positive","Negative","No"
6570,2019,"","","Negative","","Positive","Negative","No"
6566,2019,"","","Negative","","Negative","Negative","No"
6762,2019,"","","Negative","","Negative","Negative","No"
6776,2019,"","","Negative","","Negative","Negative","No"
6979,2019,"","","Negative","","Negative","Negative","No"
7106,2019,"","","Negative","","Negative","Negative","No"
7826,2019,"","","Negative","","0","Negative","No"
6510,2019,"","","Negative","","0","Negative","No"
5551,2019,"","","Negative","","0","Negative","No"
5561,2019,"","","Negative","","Negative","Negative","No"
6522,2019,"","","Negative","","Not tested","Negative","No"
6798,2019,"","","Negative","","0","Negative","No"
6955,2019,"","","Negative","","0","Negative","No"
7008,2019,"","","Negative","","Negative","Negative","No"
7858,2019,"","","Negative","","Positive","Negative","No"
5583,2019,"","","Negative","","Positive","Negative","No"
5863,2019,"","","Positive","","Positive","Positive","No"
6035,2019,"","","Negative","","Not tested","Negative","No"
6794,2019,"","","Positive","","Negative","Positive","No"
6911,2019,"","","Negative","","Negative","Negative","No"
6951,2019,"","","Negative","","Positive","Negative","No"
7004,2019,"","","Negative","","Positive","Negative","No"
5695,2019,"","","Negative","","Negative","Negative","No"
5697,2019,"","","Negative","","Negative","Negative","No"
6073,2019,"","","Negative","","Pending","Negative","No"
6560,2019,"","","Positive","","Positive","Positive","No"
5587,2019,"","","Negative","","Positive","Negative","No"
5671,2019,"","","Negative","","Positive","Negative","No"
6965,2019,"","","Positive","","Positive","Positive","No"
7025,2019,"","","Positive","","Positive","Positive","No"
5565,2019,"","","Negative","","Positive","Negative","No"
5677,2019,"","","Negative","","0","Negative","No"
5685,2019,"","","Not Tested","","Negative","Not Tested","No"
6953,2019,"","","Positive","","0","Positive","No"
6963,2019,"","","Negative","Positive","Pending","Negative","No"
6975,2019,"","","Negative","","0","Negative","No"
6977,2019,"","","Negative","","0","Negative","No"
5593,2019,"","","Negative","","Pending","Negative","No"
5663,2019,"","","ISF","","Negative","ISF","No"
5681,2019,"","","Negative","","0","Negative","No"
5691,2019,"","","Negative","","0","Negative","No"
6961,2019,"","","Negative","","0","Negative","No"
6981,2019,"","","Negative","","0","Negative","No"
7191,2019,"","","Negative","","Negative","Negative","No"
5557,2019,"","","Negative","","Negative","Negative","No"
5563,2019,"","","Negative","","0","Negative","No"
5595,2019,"","","Negative","","Positive","Negative","No"
5669,2019,"","","Negative","","Not tested","Negative","No"
5687,2019,"","","Negative","","Positive","Negative","No"
6504,2019,"","","Negative","","Negative","Negative","No"
6742,2019,"","","Positive","","Positive","Positive","No"
6870,2019,"","","Negative","","0","Negative","No"
6944,2019,"","","Negative","","0","Negative","No"
6959,2019,"","","Negative","","Negative","Negative","No"
6997,2019,"","","Negative","","Negative","Negative","No"
7123,2019,"","","Negative","","0","Negative","No"
5675,2019,"","","Positive","","Positive","Positive","No"
5689,2019,"","","Negative","Negative","0","Negative","No"
6548,2019,"","","Positive","","Positive","Positive","No"
6710,2019,"","","Negative","","0","Negative","No"
6985,2019,"","","Negative","","Not tested","Negative","No"
6993,2019,"","","Negative","","Negative","Negative","No"
7102,2019,"","","Negative","","0","Negative","No"
7177,2019,"","","Negative","","0","Negative","No"
5597,2019,"","","ISF","","Positive","ISF","No"
5573,2019,"","","Not Tested","","Negative","Not Tested","No"
5655,2019,"","","Negative","","Positive","Negative","No"
5661,2019,"","","Negative","","Positive","Negative","No"
5693,2019,"","","Negative","Negative","0","Negative","No"
6039,2019,"","","Positive","","Not tested","Positive","No"
7011,2019,"","","Negative","","Positive","Negative","No"
7104,2019,"","","Not Tested","","0","Not Tested","Yes"
5673,2019,"","","Negative","","0","Negative","No"
6732,2019,"","","Negative","","Positive","Negative","No"
6921,2019,"","","Negative","","0","Negative","No"
5555,2019,"","","Negative","","Negative","Negative","No"
5585,2019,"","","Negative","","Positive","Negative","No"
5589,2019,"","","Negative","","Not tested","Negative","No"
5649,2019,"","","Negative","","Positive","Negative","No"
7029,2019,"","","Negative","","0","Negative","No"
5569,2019,"","","Negative","","0","Negative","No"
5647,2019,"","","Negative","","Positive","Negative","No"
5665,2019,"","","Positive","","Positive","Positive","No"
6516,2019,"","","ISF","","Positive","ISF","No"
6736,2019,"","","Positive","","Positive","Positive","No"
7121,2019,"","","Negative","","0","Negative","No"
5553,2019,"","","Negative","","Negative","Negative","No"
5944,2019,"","","Positive","","Positive","Positive","No"
6991,2019,"","","Negative","","Negative","Negative","No"
7006,2019,"","","Negative","","Negative","Negative","No"
7027,2019,"","","Negative","","Positive","Negative","No"
5183,2019,"","","Negative","","Inconclusive","Negative","No"
6530,2019,"","","Negative","","Positive","Negative","No"
6839,2019,"","","Negative","","Positive","Negative","No"
7098,2019,"","","Negative","","0","Negative","No"
5179,2019,"","","Negative","","Negative","Negative","No"
5567,2019,"","","Negative","","0","Negative","No"
5575,2019,"","","Negative","","Positive","Negative","No"
5679,2019,"","","Negative","","Positive","Negative","No"
6556,2019,"","","Not Tested","","Negative","Not Tested","No"
6987,2019,"","","Negative","","0","Negative","No"
5193,2019,"","","Negative","","0","Negative","No"
5581,2019,"","","Negative","","0","Negative","No"
5637,2019,"","","Negative","","Negative","Negative","No"
5659,2019,"","","Negative","","Negative","Negative","No"
6069,2019,"","","Positive","","Positive","Positive","No"
6901,2019,"","","Negative","","0","Negative","No"
7096,2019,"","","Negative","","0","Negative","No"
5683,2019,"","","Negative","","Not tested","Negative","No"
6037,2019,"","","Negative","","Negative","Negative","No"
6071,2019,"","","Negative","","Positive","Negative","No"
6502,2019,"","","Negative","","Negative","Negative","No"
6514,2019,"","","Negative","","Pending","Negative","No"
6596,2019,"","","Negative","","0","Negative","No"
6989,2019,"","","Negative","","0","Negative","No"
5645,2019,"","","Negative","","0","Negative","No"
6612,2019,"","","Negative","","Positive","Negative","No"
6616,2019,"","","Negative","","Pending","Negative","No"
6618,2019,"","","Negative","","Negative","Negative","No"
6622,2019,"","","Negative","","0","Negative","No"
5577,2019,"","","Negative","","Negative","Negative","No"
6614,2019,"","","ISF","","0","ISF","Yes"
7100,2019,"","","Negative","","0","Negative","No"
5103,2019,"","","Not Tested","","0","Not Tested","Yes"
6642,2019,"","","Negative","","Negative","Negative","No"
6648,2019,"","","Negative","","0","Negative","No"
6652,2019,"","","Negative","Positive","Pending","Negative","No"
6704,2019,"","","ISF","","Negative","ISF","No"
6600,2019,"","","Negative","","Negative","Negative","No"
6663,2019,"","","Negative","","Not tested","Negative","No"
7092,2019,"","","","Negative","0","","No"
